address,lat,lon
29 W 38th St,40.7518315,-73.9842654
104 E 25th St,40.7411344,-73.9848524
13-17 Crosby St,40.7230216,-73.9976771
437 W 16th St,40.7431523,-74.0059271
535 W 24TH St,40.7492493,-74.0052118
122 Fifth Ave,43.128832,-74.4714959
17 John St,42.4207373,-76.4517209
118 W 22nd St,40.7427391,-73.9945858
155 Delancey St,40.7181428,-73.9862398
200 Lafayette St,40.7214319,-73.9981576
61-63 Crosby St,40.7230216,-73.9976771
19-21 W 36th St,40.7518667,-73.9886803
675 Avenue of the Americas,40.7420727,-73.9936765
22-30 Little W 12th St,40.7405755,-74.0085946
826 Broadway,40.6991556,-73.9395365
350 Hudson St,40.727644,-74.0068323
20-28 W 33rd St,40.7484021,-73.9865275
150 William St,40.7095273,-74.0058074
394 Broadway,40.7184121,-74.0025352
1674 Broadway,40.76279,-73.9829442
10 Astor Pl,40.729822,-73.9920048
73 Spring St,40.7227034,-73.9975151
40 Crosby St,40.7211039,-73.9994125
450 E 29th St,40.6394609,-73.9496049
134 W 25th St,40.7446248,-73.9934055
1350 Avenue of the Americas,40.7627635,-73.9779699
1740 Broadway,40.7649371,-73.9816783
246 Fifth Ave,42.7093744,-73.7107348
37 W 20th St,40.740815,-73.9930983
